age,education,employ,address,income,debtinc,creddebt,othdebt,default,credit_score
41,3,17,12,176,9.3,11.359392,5.008608,1.0,575.9345216
27,1,10,6,31,17.3,1.362202,4.000798,0.0,478.3349596
40,1,15,14,55,5.5,0.856075,2.168925,0.0,508.423785
41,1,15,14,120,2.9,2.65872,0.82128,0.0,548.4122560000001
24,2,2,0,28,17.3,1.787436,3.056564,1.0,469.7537128
41,2,5,5,25,10.2,0.3927,2.1573,0.0,482.33146
39,1,20,9,67,30.6,3.833874,16.668126,0.0,501.0928252
43,1,12,11,38,3.6,0.128592,1.239408,0.0,498.2606816
24,1,3,4,19,24.4,1.358348,3.277652,1.0,462.8411304
36,1,0,13,25,19.7,2.7777,2.1473,0.0,475.97946
27,1,0,1,16,1.7,0.182512,0.089488,0.0,470.8290976
25,1,4,0,23,5.2,0.252356,0.943644,0.0,473.8303288
52,1,24,14,64,10.0,3.9296,2.4704,0.0,519.13408
37,1,6,9,29,16.3,1.715901,3.011099,0.0,481.1914198
48,1,22,15,100,9.1,3.7037,5.3963,0.0,538.59926
36,2,9,6,49,8.6,0.817516,3.396484,1.0,496.1536968
36,2,13,6,41,16.4,2.918216,3.805784,1.0,488.91155679999997
43,1,23,19,72,7.6,1.181952,4.290048,0.0,523.6292096
39,1,6,9,61,5.7,0.563274,2.913726,0.0,505.9119452
41,3,0,21,26,1.7,0.099008,0.342992,0.0,492.0117984
39,1,22,3,52,3.2,1.154816,0.509184,0.0,505.7562368
47,1,17,21,43,5.6,0.587552,1.820448,0.0,507.76088960000004
28,1,3,6,26,10.0,0.4316,2.1684,0.0,476.59368
29,1,8,6,27,9.8,0.402192,2.243808,0.0,479.6703616
21,2,1,2,16,18.0,0.24192,2.63808,1.0,462.175616
25,4,0,2,32,17.6,2.14016,3.49184,0.0,474.605568
45,2,9,26,69,6.7,0.707319,3.915681,0.0,521.2539362
43,1,25,21,64,16.7,0.951232,9.736768,0.0,515.7921536
33,2,12,8,58,18.4,3.084208,7.587792,0.0,497.4887584
26,3,2,1,37,14.2,0.204906,5.049094,0.0,479.4282188
45,1,3,15,20,2.1,0.105,0.315,0.0,487.055
30,1,1,10,22,10.5,1.13883,1.17117,0.0,475.510234
27,3,2,7,26,6.0,0.72228,0.83772,0.0,479.543544
25,1,8,4,27,14.4,1.018656,2.869344,0.0,475.0586688
25,1,8,1,35,2.9,0.07714,0.93786,0.0,484.021572
26,2,6,7,45,26.0,6.0489,5.6511,0.0,480.25022
30,2,10,4,22,16.1,1.409716,2.132284,0.0,474.9696568
32,2,12,1,54,14.4,3.195936,4.580064,0.0,494.0456128
28,2,1,8,24,17.1,1.337904,2.766096,1.0,472.0716192
45,1,23,5,50,4.2,0.5586,1.5414,0.0,507.78828
23,1,7,2,31,6.6,0.33759,1.70841,0.0,479.083282
34,1,17,3,59,8.0,1.80776,2.91224,0.0,503.294448
42,2,7,23,41,4.6,0.941114,0.944886,0.0,502.5945772
39,1,19,5,48,13.1,1.930416,4.357584,0.0,497.9163168
26,1,0,0,14,7.5,0.3024,0.7476,1.0,465.52952
21,2,0,1,16,6.8,0.150144,0.937856,0.0,467.0323712
35,1,13,15,35,4.5,0.43155,1.14345,0.0,494.79868999999997
47,1,4,2,26,10.4,0.12168,2.58232,0.0,482.874864
23,2,0,2,21,11.4,0.775656,1.618344,1.0,468.2060688
35,1,18,2,42,7.4,0.205128,2.902872,0.0,494.3773744
34,1,2,11,25,12.6,0.5733,2.5767,1.0,478.01534
46,1,1,12,20,14.0,0.8092,1.9908,0.0,480.07816
46,1,16,18,52,12.9,3.032016,3.675984,1.0,506.0919968
38,3,3,18,25,3.7,0.311725,0.613275,0.0,489.272655
40,2,3,2,28,9.5,0.55328,2.10672,0.0,481.95734400000003
37,1,1,3,24,15.1,1.801128,1.822872,1.0,473.6749744
35,1,9,1,34,5.0,0.3978,1.3022,0.0,486.78044
39,2,16,13,69,2.4,1.061496,0.594504,0.0,518.6965008
40,3,18,6,100,2.5,1.485,1.015,0.0,536.203
50,3,10,20,80,12.2,2.47904,7.28096,0.0,525.072192
31,1,9,10,28,2.4,0.047712,0.624288,0.0,486.4960576
29,1,13,1,42,7.4,1.457652,1.650348,1.0,488.5268696
37,1,4,0,23,12.4,0.86986,1.98214,0.0,475.295628
33,2,4,9,55,7.0,2.15985,1.69015,0.0,498.99802999999997
26,2,5,7,28,7.8,1.024296,1.159704,0.0,479.8383408
32,2,11,6,75,23.3,7.7589,9.7161,1.0,501.03322000000003
28,2,2,3,23,6.4,0.186944,1.285056,1.0,474.9082112
39,1,19,8,46,9.1,2.515786,1.670214,0.0,499.8196428
28,2,8,3,31,8.2,1.492154,1.049846,1.0,480.91316919999997
29,1,1,2,20,18.6,0.56916,3.15084,1.0,466.502168
34,2,3,8,21,23.1,1.401939,3.449061,0.0,471.7094122
28,2,5,9,34,23.8,3.099236,4.992764,0.0,477.0417528
47,1,26,21,100,12.8,4.5824,8.2176,0.0,539.80352
43,4,1,5,26,10.6,1.518556,1.237444,0.0,483.3050888
41,1,13,10,44,1.7,0.07106,0.67694,0.0,501.956188
47,1,13,25,51,23.8,3.738504,8.399496,0.0,502.7046992
24,1,2,1,21,0.6,0.025074,0.100926,0.0,473.9297852
29,1,1,9,17,6.7,0.157182,0.981818,0.0,473.6607636
33,1,14,2,37,2.6,0.199134,0.762866,0.0,491.3277732
36,1,15,10,39,3.2,0.6864,0.5616,0.0,496.93312000000003
26,1,4,3,27,10.5,2.47212,0.36288,1.0,474.138576
31,1,11,12,45,17.0,2.7387,4.9113,0.0,490.52226
37,1,7,3,32,19.6,2.69696,3.57504,0.0,479.166208
35,4,4,16,29,11.0,1.84382,1.34618,0.0,487.193236
26,1,4,3,20,5.4,0.3186,0.7614,0.0,473.56028
40,1,10,15,45,18.8,2.01348,6.44652,0.0,494.185304
29,2,5,4,36,12.4,3.490848,0.973152,1.0,481.0490304
37,3,5,17,29,24.6,1.405398,5.728602,0.0,481.8521204
32,1,12,12,28,2.9,0.116116,0.695884,0.0,488.6543768
23,2,0,1,17,27.7,2.043706,2.665294,1.0,458.1694588
32,1,3,10,23,6.2,0.052762,1.373238,0.0,479.8242476
25,1,1,6,15,11.4,0.37107,1.33893,1.0,466.823786
38,1,5,5,54,10.6,1.499688,4.224312,0.0,496.71526240000003
32,2,0,6,18,5.8,0.296496,0.747504,1.0,474.2119008
41,3,2,0,15,26.3,1.960665,1.984335,1.0,466.098867
36,1,17,6,54,4.4,0.727056,1.648944,0.0,504.4193888
42,3,13,0,82,3.3,1.315116,1.390884,0.0,521.4757768
41,1,14,8,52,7.3,0.926224,2.869776,0.0,503.3355552
29,2,4,9,19,6.3,0.681093,0.515907,0.0,476.90438140000003
38,3,4,6,31,9.3,1.331946,1.551054,1.0,484.83701080000003
39,1,22,9,113,2.6,0.987168,1.950832,0.0,544.7749664
36,1,6,9,26,8.3,0.030212,2.127788,0.0,483.0423576
33,1,8,7,27,5.8,0.776736,0.789264,0.0,483.4114528
42,2,21,11,121,3.1,1.365364,2.385636,0.0,551.5367272
41,2,22,17,75,23.6,9.8766,7.8234,0.0,513.64468
40,1,8,17,28,3.6,0.53424,0.47376,0.0,491.85155199999997
53,1,9,18,50,11.2,2.016,3.584,1.0,505.9968
28,1,4,7,26,13.5,1.29519,2.21481,0.0,475.638962
36,2,12,13,60,7.9,1.72062,3.01938,0.0,507.547876
34,2,9,13,45,10.1,1.11807,3.42693,0.0,495.827386
45,3,2,5,39,4.9,0.45864,1.45236,0.0,494.166072
38,1,6,0,41,8.9,0.266377,3.382623,0.0,488.6569246
21,3,0,2,24,7.7,0.833448,1.014552,0.0,472.3837104
42,1,12,11,51,21.4,2.411994,8.502006,0.0,496.1748012
52,1,16,25,64,8.6,1.865856,3.638144,0.0,521.4860288
25,2,4,6,33,5.2,0.552552,1.163448,0.0,482.8662896
34,2,9,9,65,6.2,2.10769,1.92231,0.0,507.692462
40,2,15,16,73,3.4,1.032512,1.449488,0.0,521.7370976
31,2,0,4,27,12.8,1.08864,2.36736,1.0,474.971072
25,1,1,0,20,6.7,0.47168,0.86832,1.0,469.357664
45,1,12,19,37,9.5,1.34273,2.17227,0.0,498.62845400000003
23,1,3,0,19,8.4,0.2793,1.3167,1.0,468.06494
34,4,6,3,27,35.3,1.982448,7.548552,1.0,469.3773104
31,1,2,4,22,12.7,1.092454,1.701546,1.0,472.1427092
28,1,5,9,22,2.8,0.140448,0.475552,0.0,479.5287104
41,1,7,11,43,4.4,0.694364,1.197636,0.0,497.9227272
39,2,7,2,68,13.0,1.0166,7.8234,1.0,503.62868
29,2,9,3,36,1.4,0.127008,0.376992,0.0,488.9137984
21,1,5,1,25,9.0,0.36675,1.88325,0.0,472.47665
41,2,19,2,68,5.8,1.506608,2.437392,0.0,513.7898784
26,4,1,7,27,2.9,0.311634,0.471366,0.0,481.6210732
33,1,5,10,18,12.9,0.984528,1.337472,0.0,474.9786944
45,2,18,19,35,17.4,0.5481,5.5419,0.0,497.11238000000003
39,1,17,20,60,13.7,2.44956,5.77044,0.0,509.586088
